corename,species,latitude,longitude,d18oc,temp,temp_ann,d18osw
172-1059,ruberwhite,31.67,-75.42,-1.5,,24.309064865112305,0.967945396900177
17938-2,ruberwhite,19.78,117.53,-2.93,,26.702417373657227,0.23927398025989532
17940-2,ruberwhite,20.12,117.38,-2.54,,26.45128631591797,0.24639230966567993
17954-2,ruberwhite,14.8,111.53,-3.0,,27.40465545654297,0.19483797252178192
17964-3,ruberwhite,6.16,112.21,-3.2,,28.444053649902344,0.13634680211544037
18287-3,ruberwhite,5.66,110.66,-3.26,,28.34334373474121,0.12857435643672943
31-02,bulloides,70.0,3.9917,2.1,4.6103246212005615,6.287940502166748,0.3538399040699005
31-KL,sacculifer,18.75,115.87,-2.34,26.866167068481445,26.866167068481445,0.23427459597587585
80-KB-11,bulloides,36.5,24.33,1.45,16.060145759582518,19.444189071655273,1.579625129699707
80-KB-11,ruberwhite,36.5,24.33,0.91,16.060145759582518,19.444189071655273,1.579625129699707
90-564,bulloides,-45.52,174.95,1.59,8.289661884307861,10.809340476989746,0.09277549386024475
AC-2,ruberwhite,33.36,159.13,-1.05,,20.94220542907715,0.11493624746799469
AET 25,ruberwhite,5.1,73.75,-2.33,,28.82297706604004,0.419638454914093
AHF-11343,bulloides,32.8,-119.86,0.49000001,14.456061935424804,15.80532455444336,-0.43622416257858276
AHF-16830,bulloides,31.47,-118.42,0.01,15.161074447631837,16.6520938873291,-0.3888838589191437
AHF-16832,bulloides,31.87,-118.12,-1.205,15.161074447631837,16.6520938873291,-0.3888838589191437
AHF-28181,bulloides,33.01,-119.06,-0.12,13.918202781677246,15.56490707397461,-0.4672453999519348
BAR 94-42-P,ruberwhite,-6.08,102.42,-2.78,,28.0070743560791,0.2080875188112259
BARP-9406  ,ruberwhite,-2.36,99.2,-2.64,,29.30316162109375,0.15493826568126678
BARP-9407  ,ruberwhite,-0.5,96.94,-2.9,,29.108747482299805,0.20887817442417145
BARP-9409  ,ruberwhite,0.57,96.74,-2.72,,28.94993019104004,0.20943373441696167
BARP-9412,ruberwhite,-0.93,97.92,-2.6,,29.205514907836914,0.18796896934509277
BARP-9413  ,ruberwhite,-0.98,99.39,-2.92,,29.975244522094727,0.16478751599788666
BARP-9415  ,ruberwhite,0.89,98.27,-3.03,,29.301347732543945,0.1655896008014679
BARP-9422  ,ruberwhite,5.26,93.81,-2.23,,28.625770568847656,0.17921659350395203
BARP-9426  ,ruberwhite,5.95,94.43,-2.67,,28.756074905395508,0.15492071211338043
BARP-9435,ruberwhite,-1.74,98.48,-2.22,,29.008529663085938,0.1751548945903778
BARP-9437,ruberwhite,-1.54,96.38,-2.48,,28.78570556640625,0.21046867966651917
BARP-9441,ruberwhite,-5.38,101.89,-3.07,,28.85732078552246,0.1904105395078659
